StopName	Date	TimeofReq	DepTime	Line	Status
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	13:53:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	13:54:00	551	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	13:56:00	750	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	13:57:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	13:58:00	15	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	13:59:00	750	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:00:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:02:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:02:00	551	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:04:00	306	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:07:00	650	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:08:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:12:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:14:00	306	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:15:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:15:00	605	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:17:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:21:00	15	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:22:00	605	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:23:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:26:00	750	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:27:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:28:00	15	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:29:00	750	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:30:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:32:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:38:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:42:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:45:00	7	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:45:00	605	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:47:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:51:00	15	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:52:00	605	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:53:00	4	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:53:00	650	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:54:00	551	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:56:00	750	P
Esch-sur-Alzette, Porte des Sciences	2023-09-20	13:57:06	14:57:00	7	P
Belval, Porte de France	2023-09-20	13:57:06	13:57:00	7	P
Belval, Porte de France	2023-09-20	13:57:06	13:57:00	750	P
Belval, Porte de France	2023-09-20	13:57:06	13:58:00	750	P
Belval, Porte de France	2023-09-20	13:57:06	14:01:00	551	P
Belval, Porte de France	2023-09-20	13:57:06	14:02:00	4	P
Belval, Porte de France	2023-09-20	13:57:06	14:03:00	306	P
Belval, Porte de France	2023-09-20	13:57:06	14:06:00	650	P
Belval, Porte de France	2023-09-20	13:57:06	14:12:00	7	P
Belval, Porte de France	2023-09-20	13:57:06	14:15:00	306	P
Belval, Porte de France	2023-09-20	13:57:06	14:16:00	605	P
Belval, Porte de France	2023-09-20	13:57:06	14:17:00	4	P
Belval, Porte de France	2023-09-20	13:57:06	14:21:00	605	P
Belval, Porte de France	2023-09-20	13:57:06	14:27:00	7	P
Belval, Porte de France	2023-09-20	13:57:06	14:27:00	750	P
Belval, Porte de France	2023-09-20	13:57:06	14:28:00	750	P
Belval, Porte de France	2023-09-20	13:57:06	14:32:00	4	P
Belval, Porte de France	2023-09-20	13:57:06	14:42:00	7	P
Belval, Porte de France	2023-09-20	13:57:06	14:46:00	605	P
Belval, Porte de France	2023-09-20	13:57:06	14:47:00	4	P
Belval, Porte de France	2023-09-20	13:57:06	14:51:00	605	P
Belval, Porte de France	2023-09-20	13:57:06	14:54:00	650	P
Belval, Porte de France	2023-09-20	13:57:06	14:57:00	7	P
Belval, Porte de France	2023-09-20	13:57:06	14:57:00	750	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	13:57:00	15	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:00:00	4	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:10:00	7	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:15:00	4	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:22:00	15	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:25:00	7	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:27:00	15	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:30:00	4	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:40:00	7	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:45:00	4	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:52:00	15	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:55:00	7	P
Esch-sur-Alzette, Av. du Rock'n'Roll	2023-09-20	13:57:07	14:57:00	15	P
Belval, Um Bedding	2023-09-20	13:57:07	13:55:00	650	P
Belval, Um Bedding	2023-09-20	13:57:07	13:56:00	15	P
Belval, Um Bedding	2023-09-20	13:57:07	13:57:00	750	P
Belval, Um Bedding	2023-09-20	13:57:07	13:57:00	750	P
Belval, Um Bedding	2023-09-20	13:57:07	14:02:00	306	P
Belval, Um Bedding	2023-09-20	13:57:07	14:05:00	650	P
Belval, Um Bedding	2023-09-20	13:57:07	14:16:00	306	P
Belval, Um Bedding	2023-09-20	13:57:07	14:17:00	605	P
Belval, Um Bedding	2023-09-20	13:57:07	14:20:00	605	P
Belval, Um Bedding	2023-09-20	13:57:07	14:23:00	15	P
Belval, Um Bedding	2023-09-20	13:57:07	14:26:00	15	P
Belval, Um Bedding	2023-09-20	13:57:07	14:27:00	750	P
Belval, Um Bedding	2023-09-20	13:57:07	14:27:00	750	P
Belval, Um Bedding	2023-09-20	13:57:07	14:47:00	605	P
Belval, Um Bedding	2023-09-20	13:57:07	14:50:00	605	P
Belval, Um Bedding	2023-09-20	13:57:07	14:53:00	15	P
Belval, Um Bedding	2023-09-20	13:57:07	14:55:00	650	P
Belval, Um Bedding	2023-09-20	13:57:07	14:56:00	15	P
Belval, Um Bedding	2023-09-20	13:57:07	14:57:00	750	P
Belval, Um Bedding	2023-09-20	13:57:07	14:57:00	750	P
Belval (Université), Gare	2023-09-20	13:57:07	13:58:00	RB	P
